name,has_chocolate,prep_effort,mood_pairing,occasion_pairing,directions_url
Chocolate Chip Cookies,yes,low,casual,"dinner with friends, date night, dinner party, or weeknight",https://www.allrecipes.com/recipe/10813/best-chocolate-chip-cookies/
Ice Cream Sundae,yes,medium,casual or sophisticated,"dinner with friends, date night, or dinner party",https://dinnerthendessert.com/ice-cream-sundae/
Tiramisu,yes,high,sophisticated,"dinner with friends, date night, or dinner party",https://cooking.nytimes.com/recipes/1018684-classic-tiramisu
Cheese,no,low,casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.gourmetfoodstore.com/6-dessert-cheeses-to-end-dinner-on-a-high-16595
Fruit,no,low,casual or sophisticated,"dinner with friends, date night, dinner party, or weeknight",https://www.allrecipes.com/article/easy-ways-to-have-fresh-fruit-for-dessert/
Blondies,yes,medium,casual,"dinner with friends, date night, dinner party, or weeknight",https://www.tasteofhome.com/recipes/chocolate-chip-blondies/
Brownies,yes,medium,casual or sophisticated,"dinner with friends, date night, dinner party, or weeknight",https://www.inspiredtaste.net/24412/cocoa-brownies-recipe/
Creme Brulee,no,high,sophisticated,"dinner with friends, date night, or dinner party",https://cooking.nytimes.com/recipes/9039-vanilla-creme-brulee
Ginger Snaps,no,medium,casual or sophisticated,"dinner with friends, date night, dinner party, or weeknight",https://lovelylittlekitchen.com/old-fashioned-ginger-snaps/
Peach Cobbler,no,high,casual or sophisticated,"dinner with friends, date night, or dinner party",https://tastesbetterfromscratch.com/peach-cobbler/
